Station Name,Time Period,Avg Daily Entries
Woodley Park,Late Night (12am-Close),0.0K
Wiehle-Reston East,Late Night (12am-Close),0.0K
Wheaton,Late Night (12am-Close),0.0K
West Hyattsville,Late Night (12am-Close),0.0K
West Falls Church,Late Night (12am-Close),0.0K
Waterfront,Late Night (12am-Close),0.1K
Virginia Sq-GMU,Late Night (12am-Close),0.0K
Vienna,Late Night (12am-Close),0.0K
Van Ness-UDC,Late Night (12am-Close),0.0K
Van Dorn Street,Late Night (12am-Close),0.0K
Union Station,Late Night (12am-Close),0.1K
U Street,Late Night (12am-Close),0.1K
Tysons,Late Night (12am-Close),0.0K
Twinbrook,Late Night (12am-Close),0.0K
Tenleytown-AU,Late Night (12am-Close),0.0K
Takoma,Late Night (12am-Close),0.0K
Suitland,Late Night (12am-Close),0.0K
Stadium-Armory,Late Night (12am-Close),0.0K
Spring Hill,Late Night (12am-Close),0.0K
Southern Ave,Late Night (12am-Close),0.0K
Smithsonian,Late Night (12am-Close),0.0K
Silver Spring,Late Night (12am-Close),0.0K
Shaw-Howard U,Late Night (12am-Close),0.0K
Shady Grove,Late Night (12am-Close),0.0K
Rosslyn,Late Night (12am-Close),0.0K
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.1K
Rockville,Late Night (12am-Close),0.0K
Rhode Island Ave,Late Night (12am-Close),0.0K
Reston Town Center,Late Night (12am-Close),0.0K
Potomac Yard,Late Night (12am-Close),0.0K
Potomac Ave,Late Night (12am-Close),0.0K
Pentagon City,Late Night (12am-Close),0.0K
Pentagon,Late Night (12am-Close),0.0K
North Bethesda,Late Night (12am-Close),0.0K
NoMa-Gallaudet U,Late Night (12am-Close),0.1K
New Carrollton,Late Night (12am-Close),0.0K
Naylor Road,Late Night (12am-Close),0.0K
Navy Yard-Ballpark,Late Night (12am-Close),0.1K
Mt Vernon Sq,Late Night (12am-Close),0.0K
Morgan Boulevard,Late Night (12am-Close),0.0K
Minnesota Ave,Late Night (12am-Close),0.0K
Metro Center,Late Night (12am-Close),0.1K
Medical Center,Late Night (12am-Close),0.0K
McPherson Sq,Late Night (12am-Close),0.0K
McLean,Late Night (12am-Close),0.0K
Loudoun Gateway,Late Night (12am-Close),0.0K
Landover,Late Night (12am-Close),0.0K
L'Enfant Plaza,Late Night (12am-Close),0.1K
King St-Old Town,Late Night (12am-Close),0.0K
Judiciary Square,Late Night (12am-Close),0.0K
Innovation Center,Late Night (12am-Close),0.0K
Hyattsville Crossing,Late Night (12am-Close),0.0K
Huntington,Late Night (12am-Close),0.0K
Herndon,Late Night (12am-Close),0.0K
Grosvenor-Strathmore,Late Night (12am-Close),0.0K
Greensboro,Late Night (12am-Close),0.0K
Greenbelt,Late Night (12am-Close),0.0K
Glenmont,Late Night (12am-Close),0.0K
Georgia Ave-Petworth,Late Night (12am-Close),0.0K
Gallery Place,Late Night (12am-Close),0.2K
Friendship Heights,Late Night (12am-Close),0.0K
Franconia-Springfield,Late Night (12am-Close),0.0K
Fort Totten,Late Night (12am-Close),0.0K
Forest Glen,Late Night (12am-Close),0.0K
Foggy Bottom-GWU,Late Night (12am-Close),0.1K
Federal Triangle,Late Night (12am-Close),0.1K
Federal Center SW,Late Night (12am-Close),0.0K
Farragut West,Late Night (12am-Close),0.0K
Farragut North,Late Night (12am-Close),0.1K
Eisenhower Ave,Late Night (12am-Close),0.0K
Eastern Market,Late Night (12am-Close),0.0K
East Falls Church,Late Night (12am-Close),0.0K
Dupont Circle,Late Night (12am-Close),0.1K
Dunn Loring,Late Night (12am-Close),0.0K
Dulles Airport,Late Night (12am-Close),0.0K
Downtown Largo,Late Night (12am-Close),0.0K
Deanwood,Late Night (12am-Close),0.0K
Crystal City,Late Night (12am-Close),0.0K
Court House,Late Night (12am-Close),0.0K
Congress Heights,Late Night (12am-Close),0.0K
Columbia Heights,Late Night (12am-Close),0.0K
College Park-U of Md,Late Night (12am-Close),0.0K
Cleveland Park,Late Night (12am-Close),0.0K
Clarendon,Late Night (12am-Close),0.1K
Cheverly,Late Night (12am-Close),0.0K
Capitol South,Late Night (12am-Close),0.0K
Capitol Heights,Late Night (12am-Close),0.0K
Brookland-CUA,Late Night (12am-Close),0.0K
Branch Ave,Late Night (12am-Close),0.0K
Braddock Road,Late Night (12am-Close),0.0K
Bethesda,Late Night (12am-Close),0.0K
Benning Road,Late Night (12am-Close),0.0K
Ballston-MU,Late Night (12am-Close),0.0K
Ashburn,Late Night (12am-Close),0.0K
Archives,Late Night (12am-Close),0.0K
Anacostia,Late Night (12am-Close),0.0K
Addison Road,Late Night (12am-Close),0.0K
Woodley Park,Evening (7pm-12am),1.0K
Wiehle-Reston East,Evening (7pm-12am),0.1K
Wheaton,Evening (7pm-12am),0.2K
West Hyattsville,Evening (7pm-12am),0.1K
West Falls Church,Evening (7pm-12am),0.0K
Waterfront,Evening (7pm-12am),0.7K
Virginia Sq-GMU,Evening (7pm-12am),0.1K
Vienna,Evening (7pm-12am),0.2K
Van Ness-UDC,Evening (7pm-12am),0.2K
Van Dorn Street,Evening (7pm-12am),0.1K
Union Station,Evening (7pm-12am),1.4K
U Street,Evening (7pm-12am),0.9K
Tysons,Evening (7pm-12am),0.7K
Twinbrook,Evening (7pm-12am),0.2K
Tenleytown-AU,Evening (7pm-12am),0.2K
Takoma,Evening (7pm-12am),0.2K
Suitland,Evening (7pm-12am),0.1K
Stadium-Armory,Evening (7pm-12am),0.1K
Spring Hill,Evening (7pm-12am),0.1K
Southern Ave,Evening (7pm-12am),0.1K
Smithsonian,Evening (7pm-12am),0.1K
Silver Spring,Evening (7pm-12am),0.5K
Shaw-Howard U,Evening (7pm-12am),0.3K
Shady Grove,Evening (7pm-12am),0.3K
Rosslyn,Evening (7pm-12am),0.4K
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.0K
Rockville,Evening (7pm-12am),0.2K
Rhode Island Ave,Evening (7pm-12am),0.4K
Reston Town Center,Evening (7pm-12am),0.1K
Potomac Yard,Evening (7pm-12am),0.1K
Potomac Ave,Evening (7pm-12am),0.1K
Pentagon City,Evening (7pm-12am),1.2K
Pentagon,Evening (7pm-12am),0.1K
North Bethesda,Evening (7pm-12am),0.2K
NoMa-Gallaudet U,Evening (7pm-12am),0.8K
New Carrollton,Evening (7pm-12am),0.1K
Naylor Road,Evening (7pm-12am),0.1K
Navy Yard-Ballpark,Evening (7pm-12am),0.7K
Mt Vernon Sq,Evening (7pm-12am),0.5K
Morgan Boulevard,Evening (7pm-12am),0.0K
Minnesota Ave,Evening (7pm-12am),0.1K
Metro Center,Evening (7pm-12am),1.6K
Medical Center,Evening (7pm-12am),0.1K
McPherson Sq,Evening (7pm-12am),0.0K
McLean,Evening (7pm-12am),0.1K
Loudoun Gateway,Evening (7pm-12am),0.0K
Landover,Evening (7pm-12am),0.0K
L'Enfant Plaza,Evening (7pm-12am),0.9K
King St-Old Town,Evening (7pm-12am),0.4K
Judiciary Square,Evening (7pm-12am),0.2K
Innovation Center,Evening (7pm-12am),0.1K
Hyattsville Crossing,Evening (7pm-12am),0.3K
Huntington,Evening (7pm-12am),0.2K
Herndon,Evening (7pm-12am),0.1K
Grosvenor-Strathmore,Evening (7pm-12am),0.1K
Greensboro,Evening (7pm-12am),0.1K
Greenbelt,Evening (7pm-12am),0.2K
Glenmont,Evening (7pm-12am),0.1K
Georgia Ave-Petworth,Evening (7pm-12am),0.4K
Gallery Place,Evening (7pm-12am),3.9K
Friendship Heights,Evening (7pm-12am),0.3K
Franconia-Springfield,Evening (7pm-12am),0.2K
Fort Totten,Evening (7pm-12am),0.3K
Forest Glen,Evening (7pm-12am),0.1K
Foggy Bottom-GWU,Evening (7pm-12am),2.2K
Federal Triangle,Evening (7pm-12am),0.8K
Federal Center SW,Evening (7pm-12am),0.1K
Farragut West,Evening (7pm-12am),0.0K
Farragut North,Evening (7pm-12am),1.0K
Eisenhower Ave,Evening (7pm-12am),0.1K
Eastern Market,Evening (7pm-12am),0.3K
East Falls Church,Evening (7pm-12am),0.1K
Dupont Circle,Evening (7pm-12am),1.5K
Dunn Loring,Evening (7pm-12am),0.1K
Dulles Airport,Evening (7pm-12am),0.4K
Downtown Largo,Evening (7pm-12am),0.1K
Deanwood,Evening (7pm-12am),0.0K
Crystal City,Evening (7pm-12am),0.3K
Court House,Evening (7pm-12am),0.2K
Congress Heights,Evening (7pm-12am),0.1K
Columbia Heights,Evening (7pm-12am),0.9K
College Park-U of Md,Evening (7pm-12am),0.1K
Cleveland Park,Evening (7pm-12am),0.3K
Clarendon,Evening (7pm-12am),0.4K
Cheverly,Evening (7pm-12am),0.0K
Capitol South,Evening (7pm-12am),0.1K
Capitol Heights,Evening (7pm-12am),0.1K
Brookland-CUA,Evening (7pm-12am),0.2K
Branch Ave,Evening (7pm-12am),0.1K
Braddock Road,Evening (7pm-12am),0.1K
Bethesda,Evening (7pm-12am),0.5K
Benning Road,Evening (7pm-12am),0.1K
Ballston-MU,Evening (7pm-12am),0.4K
Ashburn,Evening (7pm-12am),0.1K
Arlington Cemetery,Evening (7pm-12am),0.0K
Archives,Evening (7pm-12am),0.5K
Anacostia,Evening (7pm-12am),0.2K
Addison Road,Evening (7pm-12am),0.1K
Woodley Park,PM Peak (3pm-7pm),0.9K
Wiehle-Reston East,PM Peak (3pm-7pm),0.2K
Wheaton,PM Peak (3pm-7pm),0.6K
West Hyattsville,PM Peak (3pm-7pm),0.3K
West Falls Church,PM Peak (3pm-7pm),0.1K
Waterfront,PM Peak (3pm-7pm),0.8K
Virginia Sq-GMU,PM Peak (3pm-7pm),0.3K
Vienna,PM Peak (3pm-7pm),0.5K
Van Ness-UDC,PM Peak (3pm-7pm),0.5K
Van Dorn Street,PM Peak (3pm-7pm),0.2K
Union Station,PM Peak (3pm-7pm),2.3K
U Street,PM Peak (3pm-7pm),1.0K
Tysons,PM Peak (3pm-7pm),1.0K
Twinbrook,PM Peak (3pm-7pm),0.4K
Tenleytown-AU,PM Peak (3pm-7pm),0.5K
Takoma,PM Peak (3pm-7pm),0.5K
Suitland,PM Peak (3pm-7pm),0.2K
Stadium-Armory,PM Peak (3pm-7pm),0.3K
Spring Hill,PM Peak (3pm-7pm),0.1K
Southern Ave,PM Peak (3pm-7pm),0.2K
Smithsonian,PM Peak (3pm-7pm),0.9K
Silver Spring,PM Peak (3pm-7pm),1.1K
Shaw-Howard U,PM Peak (3pm-7pm),0.5K
Shady Grove,PM Peak (3pm-7pm),0.8K
Rosslyn,PM Peak (3pm-7pm),0.9K
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.1K
Rockville,PM Peak (3pm-7pm),0.4K
Rhode Island Ave,PM Peak (3pm-7pm),0.8K
Reston Town Center,PM Peak (3pm-7pm),0.1K
Potomac Yard,PM Peak (3pm-7pm),0.3K
Potomac Ave,PM Peak (3pm-7pm),0.3K
Pentagon City,PM Peak (3pm-7pm),2.8K
Pentagon,PM Peak (3pm-7pm),0.2K
North Bethesda,PM Peak (3pm-7pm),0.3K
NoMa-Gallaudet U,PM Peak (3pm-7pm),1.9K
New Carrollton,PM Peak (3pm-7pm),0.3K
Naylor Road,PM Peak (3pm-7pm),0.1K
Navy Yard-Ballpark,PM Peak (3pm-7pm),1.1K
Mt Vernon Sq,PM Peak (3pm-7pm),0.7K
Morgan Boulevard,PM Peak (3pm-7pm),0.1K
Minnesota Ave,PM Peak (3pm-7pm),0.2K
Metro Center,PM Peak (3pm-7pm),2.9K
Medical Center,PM Peak (3pm-7pm),0.2K
McPherson Sq,PM Peak (3pm-7pm),0.0K
McLean,PM Peak (3pm-7pm),0.2K
Loudoun Gateway,PM Peak (3pm-7pm),0.0K
Landover,PM Peak (3pm-7pm),0.1K
L'Enfant Plaza,PM Peak (3pm-7pm),2.1K
King St-Old Town,PM Peak (3pm-7pm),0.9K
Judiciary Square,PM Peak (3pm-7pm),0.6K
Innovation Center,PM Peak (3pm-7pm),0.2K
Hyattsville Crossing,PM Peak (3pm-7pm),0.8K
Huntington,PM Peak (3pm-7pm),0.4K
Herndon,PM Peak (3pm-7pm),0.1K
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K
Greensboro,PM Peak (3pm-7pm),0.1K
Greenbelt,PM Peak (3pm-7pm),0.5K
Glenmont,PM Peak (3pm-7pm),0.4K
Georgia Ave-Petworth,PM Peak (3pm-7pm),0.7K
Gallery Place,PM Peak (3pm-7pm),6.8K
Friendship Heights,PM Peak (3pm-7pm),0.7K
Franconia-Springfield,PM Peak (3pm-7pm),0.5K
Fort Totten,PM Peak (3pm-7pm),0.9K
Forest Glen,PM Peak (3pm-7pm),0.2K
Foggy Bottom-GWU,PM Peak (3pm-7pm),3.9K
Federal Triangle,PM Peak (3pm-7pm),1.1K
Federal Center SW,PM Peak (3pm-7pm),0.4K
Farragut West,PM Peak (3pm-7pm),0.0K
Farragut North,PM Peak (3pm-7pm),1.6K
Eisenhower Ave,PM Peak (3pm-7pm),0.2K
Eastern Market,PM Peak (3pm-7pm),0.8K
East Falls Church,PM Peak (3pm-7pm),0.3K
Dupont Circle,PM Peak (3pm-7pm),3.0K
Dunn Loring,PM Peak (3pm-7pm),0.2K
Dulles Airport,PM Peak (3pm-7pm),0.5K
Downtown Largo,PM Peak (3pm-7pm),0.2K
Deanwood,PM Peak (3pm-7pm),0.1K
Crystal City,PM Peak (3pm-7pm),0.7K
Court House,PM Peak (3pm-7pm),0.5K
Congress Heights,PM Peak (3pm-7pm),0.2K
Columbia Heights,PM Peak (3pm-7pm),1.9K
College Park-U of Md,PM Peak (3pm-7pm),0.3K
Cleveland Park,PM Peak (3pm-7pm),0.5K
Clarendon,PM Peak (3pm-7pm),0.6K
Cheverly,PM Peak (3pm-7pm),0.1K
Capitol South,PM Peak (3pm-7pm),0.4K
Capitol Heights,PM Peak (3pm-7pm),0.1K
Brookland-CUA,PM Peak (3pm-7pm),0.6K
Branch Ave,PM Peak (3pm-7pm),0.3K
Braddock Road,PM Peak (3pm-7pm),0.4K
Bethesda,PM Peak (3pm-7pm),0.9K
Benning Road,PM Peak (3pm-7pm),0.2K
Ballston-MU,PM Peak (3pm-7pm),0.7K
Ashburn,PM Peak (3pm-7pm),0.3K
Arlington Cemetery,PM Peak (3pm-7pm),0.2K
Archives,PM Peak (3pm-7pm),1.3K
Anacostia,PM Peak (3pm-7pm),0.5K
Addison Road,PM Peak (3pm-7pm),0.2K
Woodley Park,Midday (9:30am-3pm),1.0K
Wiehle-Reston East,Midday (9:30am-3pm),0.4K
Wheaton,Midday (9:30am-3pm),0.6K
West Hyattsville,Midday (9:30am-3pm),0.7K
West Falls Church,Midday (9:30am-3pm),0.2K
Waterfront,Midday (9:30am-3pm),1.0K
Virginia Sq-GMU,Midday (9:30am-3pm),0.4K
Vienna,Midday (9:30am-3pm),1.0K
Van Ness-UDC,Midday (9:30am-3pm),0.9K
Van Dorn Street,Midday (9:30am-3pm),0.3K
Union Station,Midday (9:30am-3pm),2.6K
U Street,Midday (9:30am-3pm),1.2K
Tysons,Midday (9:30am-3pm),0.6K
Twinbrook,Midday (9:30am-3pm),0.6K
Tenleytown-AU,Midday (9:30am-3pm),0.7K
