Station Name,Time Period,Avg Daily Entries
Woodley Park,Late Night (12am-Close),0.1K
Wiehle-Reston East,Late Night (12am-Close),0.0K
Wheaton,Late Night (12am-Close),0.0K
West Hyattsville,Late Night (12am-Close),0.0K
West Falls Church,Late Night (12am-Close),0.0K
Waterfront,Late Night (12am-Close),0.2K
Virginia Sq-GMU,Late Night (12am-Close),0.0K
Vienna,Late Night (12am-Close),0.0K
Van Ness-UDC,Late Night (12am-Close),0.0K
Van Dorn Street,Late Night (12am-Close),0.0K
Union Station,Late Night (12am-Close),0.2K
U Street,Late Night (12am-Close),0.4K
Tysons,Late Night (12am-Close),0.0K
Twinbrook,Late Night (12am-Close),0.0K
Tenleytown-AU,Late Night (12am-Close),0.0K
Takoma,Late Night (12am-Close),0.0K
Suitland,Late Night (12am-Close),0.0K
Stadium-Armory,Late Night (12am-Close),0.0K
Spring Hill,Late Night (12am-Close),0.0K
Southern Ave,Late Night (12am-Close),0.0K
Smithsonian,Late Night (12am-Close),0.1K
Silver Spring,Late Night (12am-Close),0.0K
Shaw-Howard U,Late Night (12am-Close),0.1K
Shady Grove,Late Night (12am-Close),0.0K
Rosslyn,Late Night (12am-Close),0.0K
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0K
Rockville,Late Night (12am-Close),0.0K
Rhode Island Ave,Late Night (12am-Close),0.0K
Reston Town Center,Late Night (12am-Close),0.0K
Potomac Yard,Late Night (12am-Close),0.0K
Potomac Ave,Late Night (12am-Close),0.0K
Pentagon City,Late Night (12am-Close),0.0K
Pentagon,Late Night (12am-Close),0.0K
North Bethesda,Late Night (12am-Close),0.0K
NoMa-Gallaudet U,Late Night (12am-Close),0.1K
New Carrollton,Late Night (12am-Close),0.0K
Naylor Road,Late Night (12am-Close),0.0K
Navy Yard-Ballpark,Late Night (12am-Close),0.3K
Mt Vernon Sq,Late Night (12am-Close),0.1K
Morgan Boulevard,Late Night (12am-Close),0.0K
Minnesota Ave,Late Night (12am-Close),0.0K
Metro Center,Late Night (12am-Close),0.1K
Medical Center,Late Night (12am-Close),0.0K
McPherson Sq,Late Night (12am-Close),0.2K
McLean,Late Night (12am-Close),0.0K
Loudoun Gateway,Late Night (12am-Close),0.0K
Landover,Late Night (12am-Close),0.0K
L'Enfant Plaza,Late Night (12am-Close),0.8K
King St-Old Town,Late Night (12am-Close),0.0K
Judiciary Square,Late Night (12am-Close),0.0K
Innovation Center,Late Night (12am-Close),0.0K
Hyattsville Crossing,Late Night (12am-Close),0.0K
Huntington,Late Night (12am-Close),0.0K
Herndon,Late Night (12am-Close),0.0K
Grosvenor-Strathmore,Late Night (12am-Close),0.0K
Greensboro,Late Night (12am-Close),0.0K
Greenbelt,Late Night (12am-Close),0.0K
Glenmont,Late Night (12am-Close),0.0K
Georgia Ave-Petworth,Late Night (12am-Close),0.0K
Gallery Place,Late Night (12am-Close),0.2K
Friendship Heights,Late Night (12am-Close),0.0K
Franconia-Springfield,Late Night (12am-Close),0.0K
Fort Totten,Late Night (12am-Close),0.0K
Forest Glen,Late Night (12am-Close),0.0K
Foggy Bottom-GWU,Late Night (12am-Close),0.2K
Federal Triangle,Late Night (12am-Close),0.0K
Federal Center SW,Late Night (12am-Close),0.0K
Farragut West,Late Night (12am-Close),0.1K
Farragut North,Late Night (12am-Close),0.2K
Eisenhower Ave,Late Night (12am-Close),0.0K
Eastern Market,Late Night (12am-Close),0.1K
East Falls Church,Late Night (12am-Close),0.0K
Dupont Circle,Late Night (12am-Close),0.2K
Dunn Loring,Late Night (12am-Close),0.0K
Dulles Airport,Late Night (12am-Close),0.0K
Downtown Largo,Late Night (12am-Close),0.0K
Deanwood,Late Night (12am-Close),0.0K
Crystal City,Late Night (12am-Close),0.0K
Court House,Late Night (12am-Close),0.0K
Congress Heights,Late Night (12am-Close),0.0K
Columbia Heights,Late Night (12am-Close),0.1K
College Park-U of Md,Late Night (12am-Close),0.0K
Cleveland Park,Late Night (12am-Close),0.0K
Clarendon,Late Night (12am-Close),0.1K
Cheverly,Late Night (12am-Close),0.0K
Capitol South,Late Night (12am-Close),0.0K
Capitol Heights,Late Night (12am-Close),0.0K
Brookland-CUA,Late Night (12am-Close),0.0K
Branch Ave,Late Night (12am-Close),0.0K
Braddock Road,Late Night (12am-Close),0.0K
Bethesda,Late Night (12am-Close),0.0K
Benning Road,Late Night (12am-Close),0.0K
Ballston-MU,Late Night (12am-Close),0.0K
Ashburn,Late Night (12am-Close),0.0K
Archives,Late Night (12am-Close),0.0K
Anacostia,Late Night (12am-Close),0.0K
Addison Road,Late Night (12am-Close),0.0K
Woodley Park,Evening (7pm-12am),0.5K
Wiehle-Reston East,Evening (7pm-12am),0.1K
Wheaton,Evening (7pm-12am),0.2K
West Hyattsville,Evening (7pm-12am),0.2K
West Falls Church,Evening (7pm-12am),0.1K
Waterfront,Evening (7pm-12am),1.9K
Virginia Sq-GMU,Evening (7pm-12am),0.2K
